yyymmddtt,ABF,dust,ust,smoke,SS Total AOT,hr,date,type
2022040700,0.05,0.03,0.03,0.01,0.11,0,2022-04-07,
2022040706,0.03,0.04,0.02,0.01,0.1,6,2022-04-07,
2022040712,0.02,0.02,0.01,0.01,0.07,12,2022-04-07,
2022040718,0.02,0.01,0.01,0.01,0.06,18,2022-04-07,
2022040800,0.03,0.01,0.01,0.01,0.07,0,2022-04-08,
2022040806,0.04,0.02,0.02,0.02,0.09,6,2022-04-08,
2022040812,0.05,0.02,0.02,0.02,0.11,12,2022-04-08,
2022040818,0.05,0.02,0.02,0.02,0.11,18,2022-04-08,
2022040900,0.05,0.02,0.03,0.02,0.12,0,2022-04-09,
2022040906,0.05,0.02,0.02,0.02,0.11,6,2022-04-09,
2022040912,0.05,0.02,0.02,0.02,0.11,12,2022-04-09,
2022040918,0.05,0.02,0.03,0.02,0.12,18,2022-04-09,
2022041000,0.05,0.02,0.03,0.02,0.12,0,2022-04-10,
2022041006,0.07,0.02,0.06,0.03,0.18,6,2022-04-10,
2022041012,0.08,0.02,0.08,0.05,0.22,12,2022-04-10,
2022041018,0.08,0.02,0.08,0.05,0.23,18,2022-04-10,
2022041100,0.09,0.02,0.08,0.06,0.24,0,2022-04-11,
2022041106,0.1,0.02,0.09,0.06,0.26,6,2022-04-11,
2022041112,0.12,0.02,0.1,0.06,0.3,12,2022-04-11,
2022041118,0.11,0.02,0.1,0.06,0.29,18,2022-04-11,
2022041200,0.09,0.02,0.09,0.04,0.24,0,2022-04-12,
2022041206,0.11,0.01,0.1,0.07,0.29,6,2022-04-12,
2022041212,0.11,0.01,0.08,0.06,0.26,12,2022-04-12,
2022041218,0.08,0.01,0.06,0.03,0.18,18,2022-04-12,
2022041300,0.08,0.02,0.06,0.03,0.19,0,2022-04-13,
2022041306,0.11,0.02,0.06,0.06,0.25,6,2022-04-13,
2022041312,0.1,0.02,0.05,0.06,0.23,12,2022-04-13,
2022041318,0.06,0.01,0.05,0.03,0.16,18,2022-04-13,
2022041400,0.05,0.01,0.03,0.02,0.11,0,2022-04-14,
2022041406,0.05,0.01,0.03,0.03,0.12,6,2022-04-14,
2022041412,0.06,0.01,0.03,0.04,0.15,12,2022-04-14,
2022041418,0.12,0.02,0.07,0.09,0.29,18,2022-04-14,
2022041500,0.11,0.01,0.05,0.09,0.26,0,2022-04-15,
2022041506,0.13,0.01,0.06,0.1,0.3,6,2022-04-15,
2022041512,0.19,0.01,0.1,0.1,0.4,12,2022-04-15,
2022041518,0.21,0.01,0.13,0.07,0.42,18,2022-04-15,
2022041600,0.13,0.01,0.1,0.05,0.29,0,2022-04-16,
2022041606,0.11,0.01,0.1,0.05,0.27,6,2022-04-16,
2022041612,0.15,0.01,0.14,0.05,0.35,12,2022-04-16,
2022041618,0.14,0.01,0.14,0.05,0.34,18,2022-04-16,
2022041700,0.12,0.01,0.11,0.04,0.29,0,2022-04-17,
2022041706,0.11,0.01,0.1,0.05,0.28,6,2022-04-17,
2022041712,0.12,0.02,0.12,0.05,0.31,12,2022-04-17,
2022041718,0.12,0.02,0.12,0.04,0.29,18,2022-04-17,
2022041800,0.1,0.02,0.09,0.03,0.23,0,2022-04-18,
2022041806,0.11,0.03,0.08,0.03,0.26,6,2022-04-18,
2022041812,0.12,0.03,0.07,0.04,0.26,12,2022-04-18,
2022041818,0.09,0.03,0.05,0.02,0.18,18,2022-04-18,
2022041900,0.1,0.03,0.04,0.02,0.19,0,2022-04-19,
2022041906,0.14,0.02,0.05,0.04,0.24,6,2022-04-19,
2022041912,0.17,0.02,0.05,0.05,0.3,12,2022-04-19,
2022041918,0.2,0.02,0.05,0.07,0.35,18,2022-04-19,
2022042000,0.14,0.01,0.04,0.07,0.27,0,2022-04-20,
2022042006,0.12,0.01,0.04,0.07,0.24,6,2022-04-20,
2022042012,0.12,0.01,0.05,0.07,0.25,12,2022-04-20,
2022042018,0.12,0.01,0.05,0.06,0.25,18,2022-04-20,
2022042100,0.09,0.01,0.07,0.04,0.21,0,2022-04-21,
2022042106,0.08,0.01,0.14,0.05,0.28,6,2022-04-21,
2022042112,0.11,0.01,0.23,0.06,0.41,12,2022-04-21,
2022042118,0.14,0.01,0.26,0.06,0.47,18,2022-04-21,
2022042200,0.15,0.02,0.22,0.05,0.44,0,2022-04-22,
2022042206,0.15,0.02,0.18,0.06,0.41,6,2022-04-22,
2022042212,0.13,0.02,0.12,0.06,0.32,12,2022-04-22,
2022042218,0.08,0.02,0.07,0.04,0.2,18,2022-04-22,
2022042300,0.08,0.02,0.03,0.06,0.19,0,2022-04-23,
2022042306,0.09,0.02,0.03,0.08,0.22,6,2022-04-23,
2022042312,0.08,0.01,0.04,0.08,0.22,12,2022-04-23,
2022042318,0.07,0.01,0.05,0.07,0.21,18,2022-04-23,
2022042400,0.06,0.02,0.05,0.05,0.18,0,2022-04-24,
2022042406,0.08,0.02,0.07,0.07,0.24,6,2022-04-24,
2022042412,0.09,0.01,0.09,0.08,0.27,12,2022-04-24,
2022042418,0.06,0.01,0.06,0.04,0.17,18,2022-04-24,
2022042500,0.06,0.01,0.08,0.05,0.2,0,2022-04-25,
2022042506,0.08,0.01,0.1,0.06,0.25,6,2022-04-25,
2022042512,0.08,0.01,0.07,0.06,0.22,12,2022-04-25,
2022042518,0.11,0.02,0.07,0.08,0.28,18,2022-04-25,
2022042600,0.1,0.01,0.06,0.1,0.27,0,2022-04-26,
2022042606,0.16,0.01,0.08,0.11,0.36,6,2022-04-26,
2022042612,0.15,0.01,0.08,0.09,0.34,12,2022-04-26,
2022042618,0.19,0.02,0.07,0.1,0.37,18,2022-04-26,
2022042700,0.13,0.01,0.05,0.07,0.27,0,2022-04-27,
2022042706,0.13,0.01,0.04,0.07,0.25,6,2022-04-27,
2022042712,0.1,0.02,0.03,0.05,0.19,12,2022-04-27,
2022042718,0.09,0.01,0.02,0.05,0.17,18,2022-04-27,
2022042800,0.06,0.01,0.02,0.03,0.12,0,2022-04-28,
2022042806,0.07,0.01,0.02,0.04,0.14,6,2022-04-28,
2022042812,0.06,0.01,0.02,0.04,0.13,12,2022-04-28,
2022042818,0.06,0.02,0.02,0.04,0.14,18,2022-04-28,
2022042900,0.05,0.02,0.02,0.03,0.13,0,2022-04-29,
2022042906,0.07,0.02,0.03,0.05,0.17,6,2022-04-29,
2022042912,0.06,0.02,0.03,0.04,0.16,12,2022-04-29,
2022042918,0.07,0.02,0.03,0.05,0.17,18,2022-04-29,
2022043000,0.07,0.02,0.04,0.04,0.18,0,2022-04-30,
2022043006,0.08,0.02,0.06,0.04,0.2,6,2022-04-30,
2022043012,0.1,0.02,0.06,0.04,0.22,12,2022-04-30,
2022043018,0.1,0.02,0.06,0.03,0.22,18,2022-04-30,
2022050100,0.1,0.02,0.06,0.03,0.21,0,2022-05-01,
2022050106,0.11,0.02,0.06,0.04,0.23,6,2022-05-01,
2022050112,0.21,0.01,0.08,0.05,0.36,12,2022-05-01,
2022050118,0.13,0.01,0.06,0.03,0.24,18,2022-05-01,
2022050200,0.1,0.01,0.07,0.03,0.22,0,2022-05-02,
2022050206,0.18,0.02,0.11,0.05,0.36,6,2022-05-02,
2022050212,0.11,0.01,0.09,0.03,0.25,12,2022-05-02,
2022050218,0.15,0.01,0.1,0.05,0.31,18,2022-05-02,
2022050300,0.16,0.01,0.11,0.07,0.35,0,2022-05-03,
2022050306,0.14,0.01,0.09,0.06,0.3,6,2022-05-03,
2022050312,0.12,0.01,0.08,0.05,0.26,12,2022-05-03,
2022050318,0.09,0.01,0.08,0.03,0.21,18,2022-05-03,
2022050400,0.1,0.01,0.08,0.04,0.24,0,2022-05-04,
2022050406,0.14,0.01,0.12,0.05,0.32,6,2022-05-04,
2022050412,0.11,0.01,0.15,0.03,0.31,12,2022-05-04,
2022050418,0.1,0.01,0.12,0.03,0.26,18,2022-05-04,
2022050500,0.11,0.01,0.13,0.04,0.29,0,2022-05-05,
2022050506,0.17,0.01,0.21,0.06,0.46,6,2022-05-05,
2022050512,0.18,0.01,0.24,0.07,0.49,12,2022-05-05,
2022050518,0.14,0.02,0.2,0.05,0.41,18,2022-05-05,
2022050600,0.1,0.01,0.13,0.03,0.27,0,2022-05-06,
2022050606,0.12,0.01,0.15,0.03,0.31,6,2022-05-06,
2022050612,0.16,0.02,0.2,0.04,0.41,12,2022-05-06,
2022050618,0.15,0.02,0.22,0.04,0.43,18,2022-05-06,
2022050700,0.11,0.02,0.18,0.02,0.33,0,2022-05-07,
2022050706,0.11,0.02,0.15,0.02,0.31,6,2022-05-07,
2022050712,0.11,0.02,0.16,0.02,0.31,12,2022-05-07,
2022050718,0.12,0.02,0.2,0.02,0.36,18,2022-05-07,
2022050800,0.08,0.02,0.16,0.01,0.27,0,2022-05-08,
2022050806,0.1,0.02,0.14,0.02,0.27,6,2022-05-08,
2022050812,0.1,0.02,0.15,0.02,0.28,12,2022-05-08,
2022050818,0.1,0.02,0.17,0.02,0.3,18,2022-05-08,
2022050900,0.11,0.01,0.2,0.02,0.34,0,2022-05-09,
2022050906,0.14,0.01,0.26,0.04,0.46,6,2022-05-09,
2022050912,0.11,0.01,0.24,0.03,0.4,12,2022-05-09,
2022050918,0.11,0.01,0.24,0.03,0.39,18,2022-05-09,
2022051000,0.12,0.01,0.25,0.03,0.42,0,2022-05-10,
2022051006,0.14,0.01,0.28,0.05,0.49,6,2022-05-10,
2022051012,0.13,0.01,0.22,0.05,0.41,12,2022-05-10,
2022051018,0.1,0.02,0.14,0.04,0.29,18,2022-05-10,
