Well,Fluor,Target,Content,Sample,Cq,SQ,filter_amt
G03,HEX,,Unkn,BO_11,0,0,100
G04,HEX,,Unkn,BO_17,0,0,30
G05,HEX,,Unkn,BO_17,0,0,30
G06,HEX,,Unkn,BO_17,0,0,30
G08,HEX,,Unkn,C2_11,36.23240961,0.78889576,100
G09,HEX,,Unkn,C2_11,34.79956856,2.194037917,100
G10,HEX,,Unkn,C2_11,36.82560232,0.516549276,100
G11,HEX,,Unkn,C2_17,33.68318462,4.868075054,100
G12,HEX,,Unkn,C2_17,36.7512363,0.544712693,100
G13,HEX,,Unkn,C2_17,34.42104623,2.874733692,100
G15,HEX,,Unkn,RD_11,36.38263333,0.708672662,100
G16,HEX,,Unkn,RD_11,34.91601011,2.019034269,100
G17,HEX,,Unkn,RD_11,36.21574933,0.798334351,100
G18,HEX,,Unkn,RD_17,38.23030266,0.189501096,100
G19,HEX,,Unkn,RD_17,37.48708414,0.322130747,100
G20,HEX,,Unkn,RD_17,0,0,100
G22,HEX,,Std,,24.32655478,3700,
G23,HEX,,Std,,24.28495239,3700,
G24,HEX,,Std,,24.25351289,3700,
I01,HEX,,Unkn,BO_12,0,0,50
I02,HEX,,Unkn,BO_12,0,0,50
I03,HEX,,Unkn,BO_12,0,0,50
I04,HEX,,Unkn,BO_18,0,0,30
I05,HEX,,Unkn,BO_18,0,0,30
I06,HEX,,Unkn,BO_18,0,0,30
I08,HEX,,Unkn,C2_12,36.77287274,0.536363897,100
I09,HEX,,Unkn,C2_12,42.84714559,0.007018581,100
I10,HEX,,Unkn,C2_12,37.09295185,0.426800808,100
I11,HEX,,Unkn,C2_18,43.35921998,0.00486957,100
I12,HEX,,Unkn,C2_18,40.04463773,0.051893435,100
I13,HEX,,Unkn,C2_18,0,0,100
I15,HEX,,Unkn,RD_12,34.73063725,2.30470286,100
I16,HEX,,Unkn,RD_12,38.14210299,0.201816338,100
I17,HEX,,Unkn,RD_12,34.83795816,2.134726197,100
I18,HEX,,Unkn,RD_18,35.10156147,1.768549007,100
I19,HEX,,Unkn,RD_18,34.83608131,2.137588287,100
I20,HEX,,Unkn,RD_18,35.31722375,1.516195498,100
I22,HEX,,Std,,27.68046407,370,
I23,HEX,,Std,,27.69269637,370,
I24,HEX,,Std,,27.5182995,370,
K01,HEX,,Unkn,BO_13,0,0,50
K02,HEX,,Unkn,BO_13,0,0,50
K03,HEX,,Unkn,BO_13,0,0,50
K04,HEX,,Unkn,BO_19,0,0,30
K05,HEX,,Unkn,BO_19,0,0,30
K06,HEX,,Unkn,BO_19,0,0,30
K08,HEX,,Unkn,C2_13,40.45185307,0.038802814,100
K09,HEX,,Unkn,C2_13,0,0,100
K10,HEX,,Unkn,C2_13,37.7225436,0.272290539,100
K11,HEX,,Unkn,C2_19,0,0,100
K12,HEX,,Unkn,C2_19,0,0,100
K13,HEX,,Unkn,C2_19,0,0,100
K15,HEX,,Unkn,RD_13,42.545524,0.008704849,100
K16,HEX,,Unkn,RD_13,34.24539857,3.258770375,100
K17,HEX,,Unkn,RD_13,36.05737862,0.893891024,100
K18,HEX,,Unkn,RD_19,40.87666545,0.028652228,100
K19,HEX,,Unkn,RD_19,0,0,100
K20,HEX,,Unkn,RD_19,39.45673105,0.07895533,100
K22,HEX,,Std,,30.93912783,37,
K23,HEX,,Std,,31.13294758,37,
K24,HEX,,Std,,30.23949611,37,
M22,HEX,,Std,,34.04470319,3.7,
M23,HEX,,Std,,35.4879742,3.7,
M24,HEX,,Std,,32.98692746,3.7,
P22,HEX,,NTC,,0,0,
P23,HEX,,NTC,,0,0,
P24,HEX,,NTC,,0,0,
